departamento_id,departamento_nombre,provincia_id,provincia_nombre,anio,semanas_epidemiologicas,evento_nombre,grupo_edad_id,grupo_edad_desc,cantidad_casos
140,SAN FERNANDO,22,Chaco,2021,23,Neumonía (sin especificar),11,45 a 64,2
56,GRL. JOSÉ DE SAN MARTÍN,66,Salta,2021,20,Enfermedad tipo influenza (ETI),2,6 a 11 m,2
56,GRL. JOSÉ DE SAN MARTÍN,66,Salta,2021,20,Enfermedad tipo influenza (ETI),3,12 a 23 m,2
56,GRL. JOSÉ DE SAN MARTÍN,66,Salta,2021,20,Enfermedad tipo influenza (ETI),4,2 a 4,3
56,GRL. JOSÉ DE SAN MARTÍN,66,Salta,2021,20,Enfermedad tipo influenza (ETI),5,5 a 9,5
56,GRL. JOSÉ DE SAN MARTÍN,66,Salta,2021,20,Enfermedad tipo influenza (ETI),6,10 a 14,5
56,GRL. JOSÉ DE SAN MARTÍN,66,Salta,2021,20,Enfermedad tipo influenza (ETI),7,15 a 19,3
56,GRL. JOSÉ DE SAN MARTÍN,66,Salta,2021,20,Enfermedad tipo influenza (ETI),8,20 a 24,6
56,GRL. JOSÉ DE SAN MARTÍN,66,Salta,2021,20,Enfermedad tipo influenza (ETI),9,25 a 34,1
56,GRL. JOSÉ DE SAN MARTÍN,66,Salta,2021,20,Enfermedad tipo influenza (ETI),10,35 a 44,4
56,GRL. JOSÉ DE SAN MARTÍN,66,Salta,2021,20,Enfermedad tipo influenza (ETI),11,45 a 64,8
56,GRL. JOSÉ DE SAN MARTÍN,66,Salta,2021,20,Bronquiolitis en menores de 2 años (sin especificar),3,12 a 23 m,1
140,SAN FERNANDO,22,Chaco,2021,30,Enfermedad tipo influenza (ETI),2,6 a 11 m,2
140,SAN FERNANDO,22,Chaco,2021,30,Enfermedad tipo influenza (ETI),3,12 a 23 m,2
140,SAN FERNANDO,22,Chaco,2021,30,Enfermedad tipo influenza (ETI),4,2 a 4,4
140,SAN FERNANDO,22,Chaco,2021,30,Enfermedad tipo influenza (ETI),5,5 a 9,6
140,SAN FERNANDO,22,Chaco,2021,30,Enfermedad tipo influenza (ETI),6,10 a 14,3
140,SAN FERNANDO,22,Chaco,2021,30,Enfermedad tipo influenza (ETI),7,15 a 19,3
140,SAN FERNANDO,22,Chaco,2021,30,Enfermedad tipo influenza (ETI),8,20 a 24,6
140,SAN FERNANDO,22,Chaco,2021,30,Enfermedad tipo influenza (ETI),9,25 a 34,9
140,SAN FERNANDO,22,Chaco,2021,30,Enfermedad tipo influenza (ETI),10,35 a 44,8
140,SAN FERNANDO,22,Chaco,2021,30,Enfermedad tipo influenza (ETI),11,45 a 64,8
140,SAN FERNANDO,22,Chaco,2021,30,Enfermedad tipo influenza (ETI),12,65 a 74,6
140,SAN FERNANDO,22,Chaco,2021,30,Enfermedad tipo influenza (ETI),13,>= a 75,6
140,SAN FERNANDO,22,Chaco,2021,30,Neumonía (sin especificar),7,15 a 19,2
140,SAN FERNANDO,22,Chaco,2021,30,Neumonía (sin especificar),9,25 a 34,2
371,GENERAL SAN MARTÍN,6,Buenos Aires,2021,5,Enfermedad tipo influenza (ETI),2,6 a 11 m,1
371,GENERAL SAN MARTÍN,6,Buenos Aires,2021,5,Enfermedad tipo influenza (ETI),3,12 a 23 m,1
371,GENERAL SAN MARTÍN,6,Buenos Aires,2021,5,Enfermedad tipo influenza (ETI),4,2 a 4,2
371,GENERAL SAN MARTÍN,6,Buenos Aires,2021,5,Enfermedad tipo influenza (ETI),5,5 a 9,1
105,TINOGASTA,10,Catamarca,2021,21,Enfermedad tipo influenza (ETI),3,12 a 23 m,1
105,TINOGASTA,10,Catamarca,2021,21,Enfermedad tipo influenza (ETI),4,2 a 4,2
105,TINOGASTA,10,Catamarca,2021,21,Enfermedad tipo influenza (ETI),5,5 a 9,3
105,TINOGASTA,10,Catamarca,2021,21,Enfermedad tipo influenza (ETI),6,10 a 14,3
105,TINOGASTA,10,Catamarca,2021,21,Enfermedad tipo influenza (ETI),7,15 a 19,1
105,TINOGASTA,10,Catamarca,2021,21,Enfermedad tipo influenza (ETI),9,25 a 34,1
14,EL CARMEN,38,Jujuy,2021,23,Enfermedad tipo influenza (ETI),1,< 6 m,1
14,EL CARMEN,38,Jujuy,2021,23,Enfermedad tipo influenza (ETI),3,12 a 23 m,1
14,EL CARMEN,38,Jujuy,2021,23,Enfermedad tipo influenza (ETI),4,2 a 4,2
14,EL CARMEN,38,Jujuy,2021,23,Neumonía en pacientes ambulatorios,9,25 a 34,1
28,CAPITAL,66,Salta,2020,35,Neumonía en pacientes internados,4,2 a 4,1
270,EZEIZA,6,Buenos Aires,2020,31,Enfermedad tipo influenza (ETI),4,2 a 4,2
35,PATIÑO,34,Formosa,2020,4,Enfermedad tipo influenza (ETI),4,2 a 4,1
35,PATIÑO,34,Formosa,2020,4,Enfermedad tipo influenza (ETI),11,45 a 64,1
119,RÍO SEGUNDO,14,Córdoba,2020,30,Enfermedad tipo influenza (ETI),11,45 a 64,4
28,FEDERACIÓN,30,Entre Ríos,2020,13,Neumonía en pacientes internados,11,45 a 64,1
140,SAN FERNANDO,22,Chaco,2020,24,Enfermedad tipo influenza (ETI),6,10 a 14,1
140,SAN FERNANDO,22,Chaco,2020,24,Enfermedad tipo influenza (ETI),8,20 a 24,1
140,SAN FERNANDO,22,Chaco,2020,24,Enfermedad tipo influenza (ETI),9,25 a 34,2
140,SAN FERNANDO,22,Chaco,2020,24,Enfermedad tipo influenza (ETI),11,45 a 64,1
56,GUALEGUAYCHÚ,30,Entre Ríos,2020,34,Enfermedad tipo influenza (ETI),6,10 a 14,1
56,GUALEGUAYCHÚ,30,Entre Ríos,2020,34,Enfermedad tipo influenza (ETI),11,45 a 64,1
56,GUALEGUAYCHÚ,30,Entre Ríos,2020,34,Neumonía en pacientes internados,4,2 a 4,1
56,GUALEGUAYCHÚ,30,Entre Ríos,2020,34,Neumonía en pacientes internados,9,25 a 34,1
56,GUALEGUAYCHÚ,30,Entre Ríos,2020,34,Neumonía en pacientes internados,13,>= a 75,1
14,DESEADO,78,Santa Cruz,2021,42,Bronquiolitis en menores de 2 años (sin especificar),3,12 a 23 m,1
760,SAN MIGUEL,6,Buenos Aires,2021,32,Enfermedad tipo influenza (ETI),2,6 a 11 m,2
760,SAN MIGUEL,6,Buenos Aires,2021,32,Enfermedad tipo influenza (ETI),3,12 a 23 m,2
760,SAN MIGUEL,6,Buenos Aires,2021,32,Enfermedad tipo influenza (ETI),4,2 a 4,3
56,PIRANÉ,34,Formosa,2021,42,Enfermedad tipo influenza (ETI),6,10 a 14,3
56,PIRANÉ,34,Formosa,2021,42,Enfermedad tipo influenza (ETI),7,15 a 19,3
56,PIRANÉ,34,Formosa,2021,42,Enfermedad tipo influenza (ETI),8,20 a 24,2
56,PIRANÉ,34,Formosa,2021,42,Enfermedad tipo influenza (ETI),9,25 a 34,4
270,EZEIZA,6,Buenos Aires,2020,31,Enfermedad tipo influenza (ETI),8,20 a 24,2
270,EZEIZA,6,Buenos Aires,2020,31,Enfermedad tipo influenza (ETI),9,25 a 34,2
270,EZEIZA,6,Buenos Aires,2020,31,Enfermedad tipo influenza (ETI),10,35 a 44,1
105,SAN JAVIER,54,Misiones,2020,28,Enfermedad tipo influenza (ETI),2,6 a 11 m,2
105,SAN JAVIER,54,Misiones,2020,28,Enfermedad tipo influenza (ETI),5,5 a 9,1
21,CAPITAL,18,Corrientes,2020,17,Enfermedad tipo influenza (ETI),5,5 a 9,2
21,CAPITAL,18,Corrientes,2020,17,Enfermedad tipo influenza (ETI),7,15 a 19,2
21,CAPITAL,18,Corrientes,2020,17,Enfermedad tipo influenza (ETI),9,25 a 34,3
21,CAPITAL,18,Corrientes,2020,17,Enfermedad tipo influenza (ETI),10,35 a 44,1
21,CAPITAL,18,Corrientes,2020,17,Enfermedad tipo influenza (ETI),11,45 a 64,3
28,FEDERACIÓN,30,Entre Ríos,2020,29,Enfermedad tipo influenza (ETI),7,15 a 19,1
21,CAPITAL,18,Corrientes,2020,26,Enfermedad tipo influenza (ETI),6,10 a 14,1
28,CAPITAL,54,Misiones,2020,33,Enfermedad tipo influenza (ETI),2,6 a 11 m,1
28,CAPITAL,54,Misiones,2020,33,Enfermedad tipo influenza (ETI),3,12 a 23 m,3
28,CAPITAL,54,Misiones,2020,33,Enfermedad tipo influenza (ETI),4,2 a 4,4
28,CAPITAL,54,Misiones,2020,33,Enfermedad tipo influenza (ETI),5,5 a 9,4
147,CARLOS CASARES,6,Buenos Aires,2020,37,Neumonía en pacientes internados,13,>= a 75,2
