Region_name_en,Region_Name_fr,Week_Number,Begin_of_Week_Date,End_of_Week_Date,Activity_Level,PR_HRUID
Eastern,Est,202335,2023-08-27,2023-09-02,1,1011
Labrador-Grenfell,Grenfell Labrador,202335,2023-08-27,2023-09-02,1,1014
Central,Centre,202335,2023-08-27,2023-09-02,1,1012
Western,Ouest,202335,2023-08-27,2023-09-02,1,1013
Zone 1 - Western,Zone 1 - Ouest,202335,2023-08-27,2023-09-02,1,1211
Zone 2 - Northern,Zone 2 - Nord,202335,2023-08-27,2023-09-02,1,1234
Zone 3 - Eastern,Zone 3 - Est,202335,2023-08-27,2023-09-02,1,1247
Zone 4 - Central,Zone 4 - Centrale,202335,2023-08-27,2023-09-02,1,1269
Region 1,Région de santé publique 1,202335,2023-08-27,2023-09-02,1,1301
Region 2,Région de santé publique 2,202335,2023-08-27,2023-09-02,1,1302
Region 3,Région de santé publique 3,202335,2023-08-27,2023-09-02,1,1303
Region 4,Région de santé publique 4,202335,2023-08-27,2023-09-02,1,1304
Region 5,Région de santé publique 5,202335,2023-08-27,2023-09-02,1,1305
Region 6,Région de santé publique 6,202335,2023-08-27,2023-09-02,1,1306
Region 7,Région de santé publique 7,202335,2023-08-27,2023-09-02,1,1307
Nord-est,Nord-est,202335,2023-08-27,2023-09-02,1,2410
Québec et Chaudieres-Appalaches,Québec et Chaudieres-Appalaches,202335,2023-08-27,2023-09-02,2,2412
Centre-du-Québec,Centre-du-Québec,202335,2023-08-27,2023-09-02,1,2404
Montréal et Laval,Montréal et Laval,202335,2023-08-27,2023-09-02,2,2413
Ouest-du-Québec,Ouest-du-Québec,202335,2023-08-27,2023-09-02,1,2414
Montérégie,Montérégie,202335,2023-08-27,2023-09-02,2,2416
Central East,Centre-Est,202335,2023-08-27,2023-09-02,2,3570
Central West,Centre-Ouest,202335,2023-08-27,2023-09-02,2,3527
Eastern,Est,202335,2023-08-27,2023-09-02,2,3551
North East,Nord-Est,202335,2023-08-27,2023-09-02,1,3547
North West,Nord-Ouest,202335,2023-08-27,2023-09-02,2,3549
South West,Sud-Ouest,202335,2023-08-27,2023-09-02,2,3531
Toronto,Toronto,202335,2023-08-27,2023-09-02,2,3595
North,Nord,202335,2023-08-27,2023-09-02,1,4708
Central,Centre,202335,2023-08-27,2023-09-02,1,4705
South,Sud,202335,2023-08-27,2023-09-02,2,4701
North Zone,Du nord,202335,2023-08-27,2023-09-02,2,4835
Edmonton,Edmonton,202335,2023-08-27,2023-09-02,2,4834
Central Zone,Centre,202335,2023-08-27,2023-09-02,2,4833
Calgary,Calgary,202335,2023-08-27,2023-09-02,3,4832
South Zone,Du sud,202335,2023-08-27,2023-09-02,2,4831
Interior,Intérieur,202335,2023-08-27,2023-09-02,2,5911
Fraser,Fraser,202335,2023-08-27,2023-09-02,3,5921
Vancouver Coastal,Vancouver Coastal,202335,2023-08-27,2023-09-02,2,5931
Vancouver Island,Île de Vancouver,202335,2023-08-27,2023-09-02,2,5941
Northern,Nord,202335,2023-08-27,2023-09-02,1,5951
Yukon,Yukon,202335,2023-08-27,2023-09-02,2,6001
North,Région nord des TNO,202335,2023-08-27,2023-09-02,1,6101
South,Région sud des TNO,202335,2023-08-27,2023-09-02,1,6103
Qikiqtaaluk,Qikiqtaaluk,202335,2023-08-27,2023-09-02,1,6204
Kivalliq,Kivalliq,202335,2023-08-27,2023-09-02,1,6205
Kitimeot,Kitimeot,202335,2023-08-27,2023-09-02,1,6208
Eastern,Est,202336,2023-09-03,2023-09-09,1,1011
Labrador-Grenfell,Grenfell Labrador,202336,2023-09-03,2023-09-09,1,1014
Central,Centre,202336,2023-09-03,2023-09-09,1,1012
Western,Ouest,202336,2023-09-03,2023-09-09,1,1013
Zone 1 - Western,Zone 1 - Ouest,202336,2023-09-03,2023-09-09,1,1211
Zone 2 - Northern,Zone 2 - Nord,202336,2023-09-03,2023-09-09,1,1234
Zone 3 - Eastern,Zone 3 - Est,202336,2023-09-03,2023-09-09,1,1247
Zone 4 - Central,Zone 4 - Centrale,202336,2023-09-03,2023-09-09,1,1269
Region 1,Région de santé publique 1,202336,2023-09-03,2023-09-09,1,1301
Region 2,Région de santé publique 2,202336,2023-09-03,2023-09-09,1,1302
Region 3,Région de santé publique 3,202336,2023-09-03,2023-09-09,1,1303
Region 4,Région de santé publique 4,202336,2023-09-03,2023-09-09,1,1304
Region 5,Région de santé publique 5,202336,2023-09-03,2023-09-09,1,1305
Region 6,Région de santé publique 6,202336,2023-09-03,2023-09-09,1,1306
