year,week,Age_group,Number_of_citizens,Number_of_confirmed_cases,Number_of_new_admissions,Confirmed_cases_per_100k_citizens,New_admissions_per_100k_citizens,country,country_code
2015,U40,00-01,457216,0,0,0,0,Denmark,DNK
2015,U40,02-06,1256104,0,0,0,0,Denmark,DNK
2015,U40,07-14,2145184,0,0,0,0,Denmark,DNK
2015,U40,15-44,8625340,0,0,0,0,Denmark,DNK
2015,U40,45-64,6033544,2,0,37,0,Denmark,DNK
2015,U40,65-74,2545076,0,0,0,0,Denmark,DNK
2015,U40,75-84,1268756,0,0,0,0,Denmark,DNK
2015,U40,85+,475000,0,0,0,0,Denmark,DNK
2015,U40,Alle,22806220,2,0,10,0,Denmark,DNK
2015,U41,00-01,459340,0,0,0,0,Denmark,DNK
2015,U41,02-06,1253260,0,0,0,0,Denmark,DNK
2015,U41,07-14,2146804,0,0,0,0,Denmark,DNK
2015,U41,15-44,8638184,0,0,0,0,Denmark,DNK
2015,U41,45-64,6035808,3,0,37,0,Denmark,DNK
2015,U41,65-74,2547684,0,0,0,0,Denmark,DNK
2015,U41,75-84,1272104,0,0,0,0,Denmark,DNK
2015,U41,85+,476276,0,0,0,0,Denmark,DNK
2015,U41,Alle,22829460,3,0,10,0,Denmark,DNK
2015,U42,00-01,459340,0,0,0,0,Denmark,DNK
2015,U42,02-06,1253260,0,0,0,0,Denmark,DNK
2015,U42,07-14,2146804,2,2,98,98,Denmark,DNK
2015,U42,15-44,8638184,0,0,0,0,Denmark,DNK
2015,U42,45-64,6035808,0,0,0,0,Denmark,DNK
2015,U42,65-74,2547684,0,0,0,0,Denmark,DNK
2015,U42,75-84,1272104,2,2,176,176,Denmark,DNK
2015,U42,85+,476276,0,0,0,0,Denmark,DNK
2015,U42,Alle,22829460,4,4,19,19,Denmark,DNK
2015,U43,00-01,459340,0,0,0,0,Denmark,DNK
2015,U43,02-06,1253260,0,0,0,0,Denmark,DNK
2015,U43,07-14,2146804,2,0,38,0,Denmark,DNK
2015,U43,15-44,8638184,0,0,0,0,Denmark,DNK
2015,U43,45-64,6035808,2,2,37,37,Denmark,DNK
2015,U43,65-74,2547684,0,0,0,0,Denmark,DNK
2015,U43,75-84,1272104,0,0,0,0,Denmark,DNK
2015,U43,85+,476276,0,0,0,0,Denmark,DNK
2015,U43,Alle,22829460,4,2,14,10,Denmark,DNK
2015,U44,00-01,459340,0,0,0,0,Denmark,DNK
2015,U44,02-06,1253260,0,0,0,0,Denmark,DNK
2015,U44,07-14,2146804,0,0,0,0,Denmark,DNK
2015,U44,15-44,8638184,0,0,0,0,Denmark,DNK
2015,U44,45-64,6035808,4,2,66,30,Denmark,DNK
2015,U44,65-74,2547684,4,4,176,176,Denmark,DNK
2015,U44,75-84,1272104,0,0,0,0,Denmark,DNK
2015,U44,85+,476276,0,0,0,0,Denmark,DNK
2015,U44,Alle,22829460,8,6,37,28,Denmark,DNK
2015,U45,00-01,461764,0,0,0,0,Denmark,DNK
