country,country_code,year,epiweek,month,age,type
Denmark,DNK,2016,21,05,0-5 months,cases
Denmark,DNK,2017,21,05,0-5 months,cases
Denmark,DNK,2018,21,05,0-5 months,cases
Denmark,DNK,2019,21,05,0-5 months,cases
Denmark,DNK,2020,21,05,0-5 months,cases
Denmark,DNK,2021,21,05,0-5 months,cases
Denmark,DNK,2022,21,05,0-5 months,cases
Denmark,DNK,2023,21,05,0-5 months,cases
Denmark,DNK,2024,21,05,0-5 months,cases
Denmark,DNK,2016,22,05,0-5 months,cases
Denmark,DNK,2017,22,05,0-5 months,cases
Denmark,DNK,2018,22,05,0-5 months,cases
Denmark,DNK,2019,22,05,0-5 months,cases
Denmark,DNK,2020,22,05,0-5 months,cases
Denmark,DNK,2021,22,05,0-5 months,cases
Denmark,DNK,2022,22,05,0-5 months,cases
Denmark,DNK,2023,22,05,0-5 months,cases
Denmark,DNK,2024,22,05,0-5 months,cases
Denmark,DNK,2016,23,06,0-5 months,cases
Denmark,DNK,2017,23,06,0-5 months,cases
Denmark,DNK,2018,23,06,0-5 months,cases
Denmark,DNK,2019,23,06,0-5 months,cases
Denmark,DNK,2020,23,06,0-5 months,cases
Denmark,DNK,2021,23,06,0-5 months,cases
Denmark,DNK,2022,23,06,0-5 months,cases
Denmark,DNK,2023,23,06,0-5 months,cases
Denmark,DNK,2024,23,06,0-5 months,cases
Denmark,DNK,2016,24,06,0-5 months,cases
Denmark,DNK,2017,24,06,0-5 months,cases
Denmark,DNK,2018,24,06,0-5 months,cases
Denmark,DNK,2019,24,06,0-5 months,cases
Denmark,DNK,2020,24,06,0-5 months,cases
Denmark,DNK,2021,24,06,0-5 months,cases
Denmark,DNK,2022,24,06,0-5 months,cases
Denmark,DNK,2023,24,06,0-5 months,cases
Denmark,DNK,2024,24,06,0-5 months,cases
Denmark,DNK,2016,25,06,0-5 months,cases
Denmark,DNK,2017,25,06,0-5 months,cases
Denmark,DNK,2018,25,06,0-5 months,cases
Denmark,DNK,2019,25,06,0-5 months,cases
Denmark,DNK,2020,25,06,0-5 months,cases
Denmark,DNK,2021,25,06,0-5 months,cases
Denmark,DNK,2022,25,06,0-5 months,cases
Denmark,DNK,2023,25,06,0-5 months,cases
Denmark,DNK,2024,25,06,0-5 months,cases
Denmark,DNK,2016,26,06,0-5 months,cases
Denmark,DNK,2017,26,06,0-5 months,cases
Denmark,DNK,2018,26,06,0-5 months,cases
Denmark,DNK,2019,26,06,0-5 months,cases
Denmark,DNK,2020,26,06,0-5 months,cases
Denmark,DNK,2021,26,06,0-5 months,cases
Denmark,DNK,2022,26,06,0-5 months,cases
Denmark,DNK,2023,26,06,0-5 months,cases
Denmark,DNK,2024,26,06,0-5 months,cases
