week_sort,value,type,Season,Age Group
Year 1 week 21,3.0,cases,2016/2017,0-5 months
Year 1 week 21,0.0,cases,2017/2018,0-5 months
Year 1 week 21,0.0,cases,2018/2019,0-5 months
Year 1 week 21,2.0,cases,2019/2020,0-5 months
Year 1 week 21,0.0,cases,2020/2021,0-5 months
Year 1 week 21,2.0,cases,2021/2022,0-5 months
Year 1 week 21,1.0,cases,2022/2023,0-5 months
Year 1 week 21,1.0,cases,2023/2024,0-5 months
Year 1 week 21,1.0,cases,2024/2025,0-5 months
Year 1 week 22,1.0,cases,2016/2017,0-5 months
Year 1 week 22,0.0,cases,2017/2018,0-5 months
Year 1 week 22,1.0,cases,2018/2019,0-5 months
Year 1 week 22,1.0,cases,2019/2020,0-5 months
Year 1 week 22,0.0,cases,2020/2021,0-5 months
Year 1 week 22,4.0,cases,2021/2022,0-5 months
Year 1 week 22,2.0,cases,2022/2023,0-5 months
Year 1 week 22,0.0,cases,2023/2024,0-5 months
Year 1 week 22,0.0,cases,2024/2025,0-5 months
Year 1 week 23,0.0,cases,2016/2017,0-5 months
Year 1 week 23,0.0,cases,2017/2018,0-5 months
Year 1 week 23,0.0,cases,2018/2019,0-5 months
Year 1 week 23,1.0,cases,2019/2020,0-5 months
Year 1 week 23,0.0,cases,2020/2021,0-5 months
Year 1 week 23,4.0,cases,2021/2022,0-5 months
Year 1 week 23,5.0,cases,2022/2023,0-5 months
Year 1 week 23,0.0,cases,2023/2024,0-5 months
Year 1 week 23,1.0,cases,2024/2025,0-5 months
Year 1 week 24,1.0,cases,2016/2017,0-5 months
Year 1 week 24,0.0,cases,2017/2018,0-5 months
Year 1 week 24,0.0,cases,2018/2019,0-5 months
Year 1 week 24,0.0,cases,2019/2020,0-5 months
Year 1 week 24,0.0,cases,2020/2021,0-5 months
Year 1 week 24,5.0,cases,2021/2022,0-5 months
Year 1 week 24,11.0,cases,2022/2023,0-5 months
Year 1 week 24,0.0,cases,2023/2024,0-5 months
Year 1 week 24,0.0,cases,2024/2025,0-5 months
Year 1 week 25,1.0,cases,2016/2017,0-5 months
Year 1 week 25,0.0,cases,2017/2018,0-5 months
Year 1 week 25,0.0,cases,2018/2019,0-5 months
Year 1 week 25,2.0,cases,2019/2020,0-5 months
Year 1 week 25,0.0,cases,2020/2021,0-5 months
Year 1 week 25,8.0,cases,2021/2022,0-5 months
Year 1 week 25,9.0,cases,2022/2023,0-5 months
Year 1 week 25,0.0,cases,2023/2024,0-5 months
Year 1 week 25,0.0,cases,2024/2025,0-5 months
Year 1 week 26,1.0,cases,2016/2017,0-5 months
Year 1 week 26,1.0,cases,2017/2018,0-5 months
Year 1 week 26,2.0,cases,2018/2019,0-5 months
Year 1 week 26,0.0,cases,2019/2020,0-5 months
Year 1 week 26,0.0,cases,2020/2021,0-5 months
Year 1 week 26,23.0,cases,2021/2022,0-5 months
Year 1 week 26,13.0,cases,2022/2023,0-5 months
Year 1 week 26,1.0,cases,2023/2024,0-5 months
Year 1 week 26,0.0,cases,2024/2025,0-5 months
Year 1 week 27,1.0,cases,2016/2017,0-5 months
Year 1 week 27,1.0,cases,2017/2018,0-5 months
Year 1 week 27,0.0,cases,2018/2019,0-5 months
Year 1 week 27,1.0,cases,2019/2020,0-5 months
Year 1 week 27,0.0,cases,2020/2021,0-5 months
Year 1 week 27,26.0,cases,2021/2022,0-5 months
Year 1 week 27,12.0,cases,2022/2023,0-5 months
Year 1 week 27,0.0,cases,2023/2024,0-5 months
Year 1 week 27,0.0,cases,2024/2025,0-5 months
Year 1 week 28,2.0,cases,2016/2017,0-5 months
Year 1 week 28,0.0,cases,2017/2018,0-5 months
Year 1 week 28,0.0,cases,2018/2019,0-5 months
Year 1 week 28,0.0,cases,2019/2020,0-5 months
Year 1 week 28,0.0,cases,2020/2021,0-5 months
Year 1 week 28,50.0,cases,2021/2022,0-5 months
Year 1 week 28,12.0,cases,2022/2023,0-5 months
Year 1 week 28,0.0,cases,2023/2024,0-5 months
Year 1 week 28,0.0,cases,2024/2025,0-5 months
Year 1 week 29,0.0,cases,2016/2017,0-5 months
Year 1 week 29,0.0,cases,2017/2018,0-5 months
Year 1 week 29,0.0,cases,2018/2019,0-5 months
Year 1 week 29,0.0,cases,2019/2020,0-5 months
Year 1 week 29,0.0,cases,2020/2021,0-5 months
Year 1 week 29,37.0,cases,2021/2022,0-5 months
Year 1 week 29,7.0,cases,2022/2023,0-5 months
Year 1 week 29,1.0,cases,2023/2024,0-5 months
Year 1 week 29,0.0,cases,2024/2025,0-5 months
Year 1 week 30,2.0,cases,2016/2017,0-5 months
Year 1 week 30,0.0,cases,2017/2018,0-5 months
Year 1 week 30,0.0,cases,2018/2019,0-5 months
Year 1 week 30,0.0,cases,2019/2020,0-5 months
Year 1 week 30,0.0,cases,2020/2021,0-5 months
Year 1 week 30,52.0,cases,2021/2022,0-5 months
Year 1 week 30,12.0,cases,2022/2023,0-5 months
Year 1 week 30,0.0,cases,2023/2024,0-5 months
Year 1 week 30,1.0,cases,2024/2025,0-5 months
Year 1 week 31,0.0,cases,2016/2017,0-5 months
Year 1 week 31,0.0,cases,2017/2018,0-5 months
Year 1 week 31,0.0,cases,2018/2019,0-5 months
Year 1 week 31,1.0,cases,2019/2020,0-5 months
Year 1 week 31,0.0,cases,2020/2021,0-5 months
Year 1 week 31,42.0,cases,2021/2022,0-5 months
Year 1 week 31,8.0,cases,2022/2023,0-5 months
Year 1 week 31,1.0,cases,2023/2024,0-5 months
Year 1 week 31,0.0,cases,2024/2025,0-5 months
Year 1 week 32,1.0,cases,2016/2017,0-5 months
Year 1 week 32,0.0,cases,2017/2018,0-5 months
Year 1 week 32,0.0,cases,2018/2019,0-5 months
Year 1 week 32,0.0,cases,2019/2020,0-5 months
Year 1 week 32,0.0,cases,2020/2021,0-5 months
Year 1 week 32,53.0,cases,2021/2022,0-5 months
Year 1 week 32,23.0,cases,2022/2023,0-5 months
Year 1 week 32,0.0,cases,2023/2024,0-5 months
Year 1 week 32,0.0,cases,2024/2025,0-5 months
Year 1 week 33,2.0,cases,2016/2017,0-5 months
