Time;Reporting group;val
Year 2010;Influenza;561
January 2010;Influenza;26
February 2010;Influenza;7
March 2010;Influenza;6
April 2010;Influenza;2
May 2010;Influenza;2
June 2010;Influenza;2
July 2010;Influenza;1
August 2010;Influenza;0
September 2010;Influenza;0
October 2010;Influenza;3
November 2010;Influenza;16
December 2010;Influenza;496
Year 2011;Influenza;5343
January 2011;Influenza;1397
February 2011;Influenza;2250
March 2011;Influenza;1410
April 2011;Influenza;209
May 2011;Influenza;19
June 2011;Influenza;6
July 2011;Influenza;4
August 2011;Influenza;0
September 2011;Influenza;3
October 2011;Influenza;2
November 2011;Influenza;7
December 2011;Influenza;36
Year 2012;Influenza;6429
January 2012;Influenza;547
February 2012;Influenza;3821
March 2012;Influenza;1505
April 2012;Influenza;256
May 2012;Influenza;56
June 2012;Influenza;6
July 2012;Influenza;8
August 2012;Influenza;4
September 2012;Influenza;5
October 2012;Influenza;7
November 2012;Influenza;42
December 2012;Influenza;172
Year 2013;Influenza;7679
January 2013;Influenza;1244
February 2013;Influenza;2964
March 2013;Influenza;2182
April 2013;Influenza;768
May 2013;Influenza;121
June 2013;Influenza;13
July 2013;Influenza;4
August 2013;Influenza;2
September 2013;Influenza;4
October 2013;Influenza;9
November 2013;Influenza;44
December 2013;Influenza;324
Year 2014;Influenza;7146
January 2014;Influenza;782
February 2014;Influenza;2745
March 2014;Influenza;1258
April 2014;Influenza;593
May 2014;Influenza;325
June 2014;Influenza;20
July 2014;Influenza;8
August 2014;Influenza;1
September 2014;Influenza;4
October 2014;Influenza;20
November 2014;Influenza;105
December 2014;Influenza;1285
Year 2015;Influenza;13181
January 2015;Influenza;2327
February 2015;Influenza;3786
March 2015;Influenza;3198
April 2015;Influenza;1845
May 2015;Influenza;543
June 2015;Influenza;71
July 2015;Influenza;10
August 2015;Influenza;6
September 2015;Influenza;9
October 2015;Influenza;12
November 2015;Influenza;145
December 2015;Influenza;1229
Year 2016;Influenza;25634
January 2016;Influenza;4980
February 2016;Influenza;5364
March 2016;Influenza;2506
April 2016;Influenza;1624
May 2016;Influenza;409
June 2016;Influenza;20
July 2016;Influenza;5
August 2016;Influenza;3
September 2016;Influenza;8
October 2016;Influenza;109
November 2016;Influenza;1082
December 2016;Influenza;9524
Year 2017;Influenza;13258
January 2017;Influenza;5520
February 2017;Influenza;2316
March 2017;Influenza;1095
April 2017;Influenza;367
May 2017;Influenza;364
June 2017;Influenza;79
July 2017;Influenza;11
August 2017;Influenza;7
September 2017;Influenza;67
October 2017;Influenza;62
November 2017;Influenza;411
December 2017;Influenza;2959
Year 2018;Influenza;35806
January 2018;Influenza;6102
February 2018;Influenza;11992
March 2018;Influenza;12044
April 2018;Influenza;3953
May 2018;Influenza;640
June 2018;Influenza;27
July 2018;Influenza;2
August 2018;Influenza;1
September 2018;Influenza;3
October 2018;Influenza;33
November 2018;Influenza;153
December 2018;Influenza;856
Year 2019;Influenza;19812
January 2019;Influenza;2639
February 2019;Influenza;6526
March 2019;Influenza;5052
April 2019;Influenza;2535
May 2019;Influenza;667
June 2019;Influenza;44
July 2019;Influenza;7
August 2019;Influenza;6
September 2019;Influenza;8
October 2019;Influenza;52
November 2019;Influenza;388
December 2019;Influenza;1888
Year 2010;RSV;2596
January 2010;RSV;149
February 2010;RSV;613
March 2010;RSV;1128
April 2010;RSV;484
May 2010;RSV;114
June 2010;RSV;16
July 2010;RSV;0
August 2010;RSV;9
September 2010;RSV;11
October 2010;RSV;19
November 2010;RSV;27
December 2010;RSV;26
Year 2011;RSV;1522
January 2011;RSV;53
February 2011;RSV;145
March 2011;RSV;323
April 2011;RSV;324
May 2011;RSV;131
June 2011;RSV;44
July 2011;RSV;12
August 2011;RSV;6
September 2011;RSV;13
October 2011;RSV;24
November 2011;RSV;90
December 2011;RSV;357
Year 2012;RSV;2345
January 2012;RSV;697
February 2012;RSV;942
March 2012;RSV;434
April 2012;RSV;110
May 2012;RSV;33
June 2012;RSV;12
July 2012;RSV;7
August 2012;RSV;6
September 2012;RSV;4
October 2012;RSV;8
November 2012;RSV;25
December 2012;RSV;67
Year 2013;RSV;1991
January 2013;RSV;197
February 2013;RSV;387
March 2013;RSV;565
April 2013;RSV;471
May 2013;RSV;215
June 2013;RSV;49
July 2013;RSV;17
August 2013;RSV;4
September 2013;RSV;10
October 2013;RSV;15
November 2013;RSV;12
December 2013;RSV;49
Year 2014;RSV;2868
January 2014;RSV;125
February 2014;RSV;494
March 2014;RSV;973
April 2014;RSV;786
May 2014;RSV;290
June 2014;RSV;57
July 2014;RSV;23
August 2014;RSV;10
September 2014;RSV;11
October 2014;RSV;17
November 2014;RSV;28
December 2014;RSV;54
Year 2015;RSV;2435
January 2015;RSV;118
February 2015;RSV;255
March 2015;RSV;352
April 2015;RSV;334
May 2015;RSV;247
June 2015;RSV;109
July 2015;RSV;24
August 2015;RSV;30
September 2015;RSV;17
October 2015;RSV;36
November 2015;RSV;141
December 2015;RSV;772
Year 2016;RSV;4947
January 2016;RSV;1559
February 2016;RSV;1977
March 2016;RSV;879
April 2016;RSV;258
May 2016;RSV;51
June 2016;RSV;13
July 2016;RSV;5
August 2016;RSV;9
September 2016;RSV;5
October 2016;RSV;16
November 2016;RSV;43
December 2016;RSV;132
Year 2017;RSV;3845
January 2017;RSV;230
February 2017;RSV;404
March 2017;RSV;573
April 2017;RSV;437
May 2017;RSV;323
June 2017;RSV;121
July 2017;RSV;34
August 2017;RSV;19
September 2017;RSV;23
October 2017;RSV;59
November 2017;RSV;219
December 2017;RSV;1403
Year 2018;RSV;8006
January 2018;RSV;2549
February 2018;RSV;2633
March 2018;RSV;1853
April 2018;RSV;620
May 2018;RSV;140
June 2018;RSV;22
July 2018;RSV;7
August 2018;RSV;7
September 2018;RSV;16
October 2018;RSV;11
November 2018;RSV;24
December 2018;RSV;124
Year 2019;RSV;4384
January 2019;RSV;305
February 2019;RSV;673
March 2019;RSV;814
April 2019;RSV;820
May 2019;RSV;402
June 2019;RSV;125
July 2019;RSV;30
August 2019;RSV;11
September 2019;RSV;8
October 2019;RSV;38
November 2019;RSV;205
December 2019;RSV;953
