Time;Reporting group;val
Year 2020;Influenza;10212
January 2020;Influenza;2672
February 2020;Influenza;4756
March 2020;Influenza;2715
April 2020;Influenza;31
May 2020;Influenza;8
June 2020;Influenza;2
July 2020;Influenza;3
August 2020;Influenza;0
September 2020;Influenza;0
October 2020;Influenza;1
November 2020;Influenza;14
December 2020;Influenza;10
Year 2021;Influenza;502
January 2021;Influenza;9
February 2021;Influenza;5
March 2021;Influenza;4
April 2021;Influenza;5
May 2021;Influenza;2
June 2021;Influenza;4
July 2021;Influenza;2
August 2021;Influenza;0
September 2021;Influenza;0
October 2021;Influenza;5
November 2021;Influenza;47
December 2021;Influenza;419
Year 2022;Influenza;14203
January 2022;Influenza;145
February 2022;Influenza;39
March 2022;Influenza;98
April 2022;Influenza;1447
May 2022;Influenza;4340
June 2022;Influenza;589
July 2022;Influenza;48
August 2022;Influenza;47
September 2022;Influenza;66
October 2022;Influenza;89
November 2022;Influenza;581
December 2022;Influenza;6714
Year 2023;Influenza;13170
January 2023;Influenza;4176
February 2023;Influenza;1598
March 2023;Influenza;1227
April 2023;Influenza;921
May 2023;Influenza;389
June 2023;Influenza;81
July 2023;Influenza;21
August 2023;Influenza;23
September 2023;Influenza;16
October 2023;Influenza;67
November 2023;Influenza;419
December 2023;Influenza;4232
Year 2024;Influenza;8746
January 2024;Influenza;3039
February 2024;Influenza;1892
March 2024;Influenza;999
April 2024;Influenza;676
May 2024;Influenza;515
June 2024;Influenza;57
July 2024;Influenza;53
August 2024;Influenza;34
September 2024;Influenza;17
October 2024;Influenza;49
November 2024;Influenza;144
December 2024;Influenza;1271
Year 2025;Influenza;1672
January 2025;Influenza;1672
Year 2020;RSV;5923
January 2020;RSV;1725
February 2020;RSV;2340
March 2020;RSV;1654
April 2020;RSV;162
May 2020;RSV;14
June 2020;RSV;8
July 2020;RSV;4
August 2020;RSV;3
September 2020;RSV;3
October 2020;RSV;7
November 2020;RSV;1
December 2020;RSV;2
Year 2021;RSV;4711
January 2021;RSV;6
February 2021;RSV;5
March 2021;RSV;5
April 2021;RSV;6
May 2021;RSV;3
June 2021;RSV;4
July 2021;RSV;8
August 2021;RSV;26
September 2021;RSV;25
October 2021;RSV;118
November 2021;RSV;947
December 2021;RSV;3558
Year 2022;RSV;6809
January 2022;RSV;2226
February 2022;RSV;588
March 2022;RSV;264
April 2022;RSV;127
May 2022;RSV;143
June 2022;RSV;80
July 2022;RSV;45
August 2022;RSV;35
September 2022;RSV;47
October 2022;RSV;150
November 2022;RSV;655
December 2022;RSV;2449
Year 2023;RSV;6809
January 2023;RSV;2251
February 2023;RSV;1396
March 2023;RSV;996
April 2023;RSV;436
May 2023;RSV;216
June 2023;RSV;49
July 2023;RSV;20
August 2023;RSV;13
September 2023;RSV;13
October 2023;RSV;28
November 2023;RSV;245
December 2023;RSV;1146
Year 2024;RSV;4818
January 2024;RSV;1617
February 2024;RSV;1657
March 2024;RSV;914
April 2024;RSV;285
May 2024;RSV;78
June 2024;RSV;12
July 2024;RSV;10
August 2024;RSV;6
September 2024;RSV;11
October 2024;RSV;11
November 2024;RSV;41
December 2024;RSV;176
Year 2025;RSV;203
January 2025;RSV;203
