week,geo_insee,indicator,inc,inc100,inc_up,inc_low,inc100_up,inc100_low
201601,FR,3,42263,65,48970,35556,75,55
201602,FR,3,44617,68,51413,37821,79,58
201603,FR,3,75277,116,83924,66630,129,102
201604,FR,3,148473,228,160355,136591,246,210
201605,FR,3,178963,275,191630,166296,294,255
201606,FR,3,194921,299,200637,189205,308,290
201607,FR,3,204604,314,210495,198713,323,305
201608,FR,3,200681,308,206577,194785,317,299
201609,FR,3,213380,328,219353,207407,337,318
201610,FR,3,248576,382,254901,242251,391,372
201611,FR,3,279636,429,286366,272906,440,419
201612,FR,3,274533,421,281219,267847,432,411
201613,FR,3,173684,267,179077,168291,275,258
201614,FR,3,113384,174,117869,108899,181,167
201615,FR,3,60388,93,63680,57096,98,88
201616,FR,3,33397,51,35849,30945,55,47
201617,FR,3,26981,41,29219,24743,45,38
201618,FR,3,15274,23,16926,13622,26,21
201619,FR,3,14358,22,15959,12757,24,20
201620,FR,3,9853,15,11190,8516,17,13
201621,FR,3,9944,15,11277,8611,17,13
201622,FR,3,6648,10,7741,5555,12,9
201623,FR,3,6151,9,7202,5100,11,8
201624,FR,3,6264,10,7319,5209,11,8
201625,FR,3,5345,8,6331,4359,10,7
201626,FR,3,6027,9,7098,4956,11,8
201627,FR,3,5202,8,6226,4178,10,6
201628,FR,3,3320,5,4160,2480,6,4
201629,FR,3,4056,6,5020,3092,8,5
201630,FR,3,3540,5,4454,2626,7,4
201631,FR,3,3075,5,3982,2168,6,3
201632,FR,3,1781,3,2446,1116,4,2
201633,FR,3,1408,2,1991,825,3,1
201634,FR,3,1763,3,2362,1164,4,2
201635,FR,3,2322,4,2941,1703,5,3
201636,FR,3,2829,4,3508,2150,5,3
201637,FR,3,3475,5,4254,2696,7,4
201638,FR,3,5199,8,6155,4243,9,7
201639,FR,3,6558,10,7629,5487,12,8
201640,FR,3,7430,11,8547,6313,13,10
201641,FR,3,9581,15,10842,8320,17,13
201642,FR,3,12412,19,13894,10930,21,17
201643,FR,3,10489,16,11888,9090,18,14
201644,FR,3,9866,15,11187,8545,17,13
201645,FR,3,10738,16,12083,9393,19,14
201646,FR,3,13942,21,15461,12423,24,19
201647,FR,3,17827,27,19547,16107,30,25
201648,FR,3,25841,40,27900,23782,43,37
201649,FR,3,46853,72,49651,44055,76,68
201650,FR,3,75551,116,79096,72006,121,111
201651,FR,3,127767,196,132480,123054,203,189
201652,FR,3,189743,291,195823,183663,301,282
201701,FR,3,248549,382,254860,242238,391,372
201702,FR,3,263557,405,270002,257112,414,395
201703,FR,3,262087,402,268550,255624,412,392
201704,FR,3,253792,390,260187,247397,399,380
201705,FR,3,203418,312,209202,197634,321,303
201706,FR,3,112968,173,117326,108610,180,167
201707,FR,3,66255,102,69678,62832,107,96
201708,FR,3,38257,59,40862,35652,63,55
201709,FR,3,26369,40,28515,24223,44,37
201710,FR,3,19417,30,21261,17573,33,27
201711,FR,3,14095,22,15670,12520,24,19
201712,FR,3,12098,19,13532,10664,21,16
201713,FR,3,9968,15,11278,8658,17,13
201714,FR,3,5818,9,6806,4830,10,7
201715,FR,3,4443,7,5337,3549,8,5
201716,FR,3,3944,6,4778,3110,7,5
201717,FR,3,4152,6,5024,3280,8,5
201718,FR,3,2305,4,2939,1671,5,3
201719,FR,3,1427,2,1924,930,3,1
201720,FR,3,1326,2,1808,844,3,1
