Week,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+
1,21,,,1,,,,,,,,1,,,,,
2,30,3,3,,,2,,1,,1,1,1,1,,,,1
3,82,6,2,,1,,2,,,1,1,3,1,,1,,
4,128,9,2,3,1,4,4,2,2,1,,4,2,2,4,1,4
5,205,15,5,7,1,,3,1,3,3,2,2,2,3,2,3,2
6,219,17,9,6,,2,6,4,2,4,3,5,4,1,,1,2
7,224,14,2,1,3,4,8,2,5,5,4,9,3,4,1,1,6
8,166,8,5,2,3,2,1,5,2,3,7,6,3,4,1,2,4
9,320,15,6,7,5,5,7,5,5,7,9,8,7,6,3,10,13
10,262,15,10,10,4,6,13,8,6,11,8,13,5,11,5,9,20
11,229,17,9,8,4,8,8,3,4,8,9,8,12,2,7,8,9
12,194,16,14,13,2,7,7,6,4,5,8,10,10,7,2,10,14
13,109,8,9,3,1,5,1,1,3,5,7,5,5,7,5,9,11
14,75,5,4,2,1,,1,,2,3,1,4,4,2,1,3,7
15,63,3,1,,2,4,4,3,1,1,4,9,5,8,3,6,6
16,34,2,2,1,,1,1,,,3,1,5,2,4,1,2,5
17,32,1,,,,,3,,1,1,,3,3,1,1,2,3
18,19,1,,,,,,,,,,,1,1,1,,
19,8,3,,,,,,,,,,1,,,,,
20,9,,,,,,,,,,1,,,1,,,
21,2,,,,,,,,,,,,,,,,
22,1,1,1,1,,,,,,,,,,,,,
23,1,,1,,,,,,,,,,,,,,
24,3,,,,,,,,,,,,,,,,
26,1,,,,,,,,,,,,,,,,
28,1,,,,,,,,,,,,,,,,
29,1,,,,,,,,,,,,,,,,
30,,,1,,,,,,,,,,,,,1,
31,1,,,,,,,,,,,,,,,,
32,,,,,,,,,1,,,,,,,,
34,,,,,,,,,,,,,,,,,1
36,1,,,,,,,,,,,,,,,,
37,,1,,,,,,,,,,,,,,,
38,1,,,,,,,,,,,,,,,,
41,1,,,,,,,,,,,,,,,,
42,,,,,,,,,1,,,,,,,,
43,2,,,,,,,,,,,,,,,,
44,1,,,,,,,,,,,,,,,,
45,2,1,1,,,,,,,,,,,,,,
46,7,1,,,,,,,,,,,,,,,
47,4,,,,,,,,,,,,,,,,
48,15,1,,1,,,,,,,,,,1,,1,
49,21,,1,,,,,,,1,,,1,1,1,,
50,45,2,1,,1,,,1,,,,,,,,,1
51,59,5,2,,,2,,,1,,3,,,,,,
52,52,,,,,,,,1,,,,1,,,1,
