Week,A00..04,A05..09,A10..14,A15..19,A20..24,A25..29,A30..34,A35..39,A40..44,A45..49,A50..54,A55..59,A60..64,A65..69,A70..74,A75..79,A80+,Unknown
1,179,22,22,30,21,17,22,28,21,43,55,53,51,36,38,44,143,
2,123,15,11,24,32,11,14,13,22,19,30,37,42,29,33,31,116,
3,104,14,14,16,6,7,3,17,9,13,17,18,27,23,15,22,69,
4,111,14,12,20,10,7,7,10,9,9,10,28,30,28,23,10,75,
5,73,19,10,16,6,8,6,13,8,9,14,20,15,10,12,16,44,
6,72,6,5,16,2,5,9,8,6,8,8,9,16,7,10,13,51,
7,43,6,4,4,3,5,1,6,5,10,7,8,11,14,8,10,39,
8,37,8,2,6,6,2,3,4,3,5,3,11,13,9,5,15,33,
9,39,5,,3,3,2,2,3,4,3,5,5,9,6,11,9,23,
10,32,3,4,1,4,2,6,2,2,2,7,6,7,6,4,5,27,
11,8,5,1,1,1,1,2,1,3,1,4,5,7,6,1,5,22,
12,21,1,,,1,1,2,2,3,1,3,3,2,3,5,3,17,
13,9,,1,2,,1,,1,1,,3,2,2,1,5,4,19,
14,9,1,,4,1,,1,3,1,,1,1,5,1,1,1,9,
15,5,1,1,,1,1,,,3,2,,2,1,,2,1,10,
16,2,,,,,,1,,1,1,1,4,2,2,2,,3,
17,1,,,,,,,1,1,,,1,1,2,2,1,6,
18,,,1,,,,,,1,,1,1,,,2,2,7,
19,1,,,,,,,1,,,1,1,2,1,,,8,
20,3,,,,,,,,,,,,,1,,1,2,
21,1,,,,,,,1,,,2,,,,1,,,
22,1,,,,,,1,,,,1,,3,3,2,2,8,
23,,,,,,,,,1,1,,,1,1,2,3,6,
24,,,,,,,,,,1,,,2,1,2,,3,
25,1,,,,,,,,,,1,,,,4,2,4,
26,,,,,,,,,,,,,1,2,,,1,
27,2,1,,1,,,,,,1,,,,,1,1,5,
28,,,,,,,,,,1,,,2,,3,2,4,
29,1,1,,,,1,,,,,,,1,1,2,1,4,
30,,,,,,,,,,,,,,1,,2,1,
31,,,,,,,,,,,,,1,3,,,1,
32,1,,,,,,,,,,,1,,3,2,2,1,
33,1,,,2,,,1,1,,,,,,,1,1,2,
34,,,,1,,,,1,1,1,,1,,1,1,3,,
35,2,,,,,,,,1,,,1,,1,,2,4,
36,2,,,,,2,,,,,,1,1,1,2,2,9,
37,4,,,7,1,7,2,1,5,3,7,4,10,5,2,3,7,
38,6,,2,2,5,1,2,,1,1,,1,1,2,1,1,10,
39,7,1,1,1,,1,,1,1,,,2,2,1,4,1,7,
40,10,,,1,,,1,,,1,,,1,,4,2,6,
41,15,1,2,3,,1,1,,,1,,1,1,,1,,10,
42,15,6,1,,,,1,3,,,1,1,4,1,,3,2,
43,46,3,1,1,,,,1,,,,2,2,1,2,5,4,
44,80,4,1,3,2,,,1,2,3,1,1,2,,4,2,3,
45,141,9,3,2,,,1,5,6,1,3,3,7,10,7,3,8,
46,305,29,,1,1,1,2,3,1,3,3,5,2,5,7,9,14,
47,542,42,5,7,7,5,8,11,3,3,4,14,5,10,9,13,21,1
48,1018,62,7,6,4,8,12,10,10,3,10,7,13,10,12,4,27,
49,1469,124,26,17,7,8,16,21,20,7,9,11,25,26,27,22,56,2
50,2592,234,39,18,10,21,41,31,23,22,28,39,29,38,32,36,86,1
51,3214,277,40,31,22,23,45,63,29,36,30,40,61,54,49,48,113,1
52,2204,167,16,15,16,21,20,35,24,12,20,32,39,51,47,46,132,2
