week,floor,ceiling,extract_date,weekly_cases,total_cases,Weekly_0_14,Weekly_15_24,Weekly_25_44,Weekly_45_64,Weekly_65_,Total_0_14,Total_15_24,Total_25_44,Total_45_64,Total_65_,F3_Week_Rolling_Rate_100k_0_14,F3_Week_Rolling_Rate_100k_15_24,F3_Week_Rolling_Rate_100k_25_44,F3_Week_Rolling_Rate_100k_45_64,F3_Week_Rolling_Rate_100k_65_,F3_Week_Rolling_Rate_100k_Total,disease,ObjectId
2017 W40,2017/10/01 00:00:00+00,2017/10/07 00:00:00+00,2025/01/12 00:00:00+00,5,5,1,1,1,2,0,1,1,1,2,0,,,,,,,Influenza,1
2020 W26,2020/06/21 00:00:00+00,2020/06/27 00:00:00+00,2025/01/12 00:00:00+00,61,25387,2,8,27,14,10,498,1890,8734,7801,6450,0.56,1.45,2.32,1.6,1.85,1.61,COVID-19,2
2019 W36,2019/09/01 00:00:00+00,2019/09/07 00:00:00+00,2025/01/12 00:00:00+00,3,19994,0,0,0,0,3,5750,1125,3330,3616,6163,0.07,0.1,0,0.03,0.34,0.08,Influenza,3
2018 W38,2018/09/16 00:00:00+00,2018/09/22 00:00:00+00,2025/01/12 00:00:00+00,1,11865,0,0,1,0,0,2585,630,1912,2220,4509,0,0,0.02,0.03,0,0.01,Influenza,4
2017 W40,2017/10/01 00:00:00+00,2017/10/07 00:00:00+00,2025/01/12 00:00:00+00,8,8,8,0,0,0,0,8,0,0,0,0,,,,,,,RSV,5
2018 W38,2018/09/16 00:00:00+00,2018/09/22 00:00:00+00,2025/01/12 00:00:00+00,5,3139,5,0,0,0,0,2351,22,87,181,496,0.33,0,0,0,0,0.06,RSV,6
2019 W36,2019/09/01 00:00:00+00,2019/09/07 00:00:00+00,2025/01/12 00:00:00+00,9,6833,8,0,1,0,0,5149,49,221,406,1006,0.89,0,0.02,0,0,0.18,RSV,7
2020 W26,2020/06/21 00:00:00+00,2020/06/27 00:00:00+00,2025/01/12 00:00:00+00,12,31145,7,0,3,2,0,9797,2029,4969,4972,9360,0.23,0,0.07,0.05,0,0.08,Influenza,8
2018 W39,2018/09/23 00:00:00+00,2018/09/29 00:00:00+00,2025/01/12 00:00:00+00,0,11865,0,0,0,0,0,2585,630,1912,2220,4509,0.03,0,0.02,0,0,0.01,Influenza,9
2017 W41,2017/10/08 00:00:00+00,2017/10/14 00:00:00+00,2025/01/12 00:00:00+00,11,16,2,0,2,3,3,3,1,3,5,3,0.1,0.05,0.19,0.18,0.17,0.16,Influenza,10
2019 W37,2019/09/08 00:00:00+00,2019/09/14 00:00:00+00,2025/01/12 00:00:00+00,7,20001,2,1,0,1,3,5752,1126,3330,3617,6166,0.13,0.05,0.02,0.03,0.34,0.1,Influenza,11
2020 W26,2020/06/21 00:00:00+00,2020/06/27 00:00:00+00,2025/01/12 00:00:00+00,1,11215,0,0,0,0,1,8452,119,379,679,1581,0.03,0,0,0,0.04,0.01,RSV,12
2019 W37,2019/09/08 00:00:00+00,2019/09/14 00:00:00+00,2025/01/12 00:00:00+00,13,6846,13,0,0,0,0,5162,49,221,406,1006,1.05,0,0.02,0,0,0.21,RSV,13
2017 W41,2017/10/08 00:00:00+00,2017/10/14 00:00:00+00,2025/01/12 00:00:00+00,16,24,16,0,0,0,0,24,0,0,0,0,1.48,0,0,0,0.04,0.3,RSV,14
2018 W39,2018/09/23 00:00:00+00,2018/09/29 00:00:00+00,2025/01/12 00:00:00+00,2,3141,2,0,0,0,0,2353,22,87,181,496,0.43,0,0,0,0,0.08,RSV,15
2020 W27,2020/06/28 00:00:00+00,2020/07/04 00:00:00+00,2025/01/12 00:00:00+00,93,25480,8,10,39,23,13,506,1900,8773,7824,6463,0.69,2.9,2.79,1.37,1.33,1.81,COVID-19,16
2019 W38,2019/09/15 00:00:00+00,2019/09/21 00:00:00+00,2025/01/12 00:00:00+00,5,20006,2,0,1,0,2,5754,1126,3331,3617,6168,0.13,0.05,0.07,0.05,0.26,0.1,Influenza,17
2017 W42,2017/10/15 00:00:00+00,2017/10/21 00:00:00+00,2025/01/12 00:00:00+00,8,24,0,0,5,2,1,3,1,8,7,4,0.13,0.05,0.26,0.23,0.26,0.21,Influenza,18
2018 W40,2018/09/30 00:00:00+00,2018/10/06 00:00:00+00,2025/01/12 00:00:00+00,1,11866,1,0,0,0,0,2586,630,1912,2220,4509,0.03,0,0,0,0.09,0.02,Influenza,19
2020 W27,2020/06/28 00:00:00+00,2020/07/04 00:00:00+00,2025/01/12 00:00:00+00,0,31145,0,0,0,0,0,9797,2029,4969,4972,9360,0.23,0,0.07,0.05,0,0.08,Influenza,20
2019 W38,2019/09/15 00:00:00+00,2019/09/21 00:00:00+00,2025/01/12 00:00:00+00,11,6857,11,0,0,0,0,5173,49,221,406,1006,1.25,0,0,0,0,0.25,RSV,21
2017 W42,2017/10/15 00:00:00+00,2017/10/21 00:00:00+00,2025/01/12 00:00:00+00,22,46,21,0,0,0,1,45,0,0,0,1,2.63,0,0,0.03,0.13,0.54,RSV,22
2020 W27,2020/06/28 00:00:00+00,2020/07/04 00:00:00+00,2025/01/12 00:00:00+00,1,11216,1,0,0,0,0,8453,119,379,679,1581,0.03,0,0,0,0.04,0.01,RSV,23
2018 W40,2018/09/30 00:00:00+00,2018/10/06 00:00:00+00,2025/01/12 00:00:00+00,6,3147,6,0,0,0,0,2359,22,87,181,496,0.86,0,0,0,0.09,0.18,RSV,24
2019 W39,2019/09/22 00:00:00+00,2019/09/28 00:00:00+00,2025/01/12 00:00:00+00,4,20010,0,0,2,1,1,5754,1126,3333,3618,6169,0.1,0.05,0.07,0.08,0.17,0.09,Influenza,25
2017 W43,2017/10/22 00:00:00+00,2017/10/28 00:00:00+00,2025/01/12 00:00:00+00,13,37,2,1,4,4,2,5,2,12,11,6,0.07,0.1,0.21,0.21,0.13,0.16,Influenza,26
