year,week,weekly_cases,Weekly_0_14,Weekly_15_24,Weekly_25_44,Weekly_45_64,Weekly_65_,F3_Week_Rolling_Rate_100k_0_14,F3_Week_Rolling_Rate_100k_15_24,F3_Week_Rolling_Rate_100k_25_44,F3_Week_Rolling_Rate_100k_45_64,F3_Week_Rolling_Rate_100k_65_,F3_Week_Rolling_Rate_100k_Total
2017,W40,5,1,1,1,2,0,NA,NA,NA,NA,NA,NA
2019,W36,3,0,0,0,0,3,0.07,0.1,0,0.03,0.34,0.08
2018,W38,1,0,0,1,0,0,0,0,0.02,0.03,0,0.01
2020,W26,12,7,0,3,2,0,0.23,0,0.07,0.05,0,0.08
2018,W39,0,0,0,0,0,0,0.03,0,0.02,0,0,0.01
2017,W41,11,2,0,2,3,3,0.1,0.05,0.19,0.18,0.17,0.16
2019,W37,7,2,1,0,1,3,0.13,0.05,0.02,0.03,0.34,0.1
2019,W38,5,2,0,1,0,2,0.13,0.05,0.07,0.05,0.26,0.1
2017,W42,8,0,0,5,2,1,0.13,0.05,0.26,0.23,0.26,0.21
2018,W40,1,1,0,0,0,0,0.03,0,0,0,0.09,0.02
2020,W27,0,0,0,0,0,0,0.23,0,0.07,0.05,0,0.08
2019,W39,4,0,0,2,1,1,0.1,0.05,0.07,0.08,0.17,0.09
2017,W43,13,2,1,4,4,2,0.07,0.1,0.21,0.21,0.13,0.16
2018,W41,2,0,0,0,0,2,0.03,0,0.09,0,0.17,0.06
2020,W28,0,0,0,0,0,0,0,0.05,0,0.03,0,0.01
2019,W40,5,1,1,0,2,1,0.16,0.16,0.09,0.08,0.13,0.12
2018,W42,6,0,0,4,0,2,0.03,0.05,0.16,0,0.17,0.08
2017,W44,3,0,1,0,2,0,0.07,0.1,0.14,0.18,0.17,0.14
2018,W43,5,1,1,3,0,0,0.07,0.05,0.19,0,0.09,0.08
2019,W41,9,4,2,2,0,1,0.2,0.16,0.05,0.13,0.21,0.14
2020,W29,2,0,1,0,1,0,0.03,0.05,0,0.03,0,0.02
2017,W45,5,0,0,2,1,2,0.07,0.1,0.09,0.13,0.34,0.14
2019,W42,7,1,0,0,3,3,0.16,0.1,0.07,0.13,0.3,0.14
2017,W46,13,2,1,2,2,6,0.13,0.16,0.12,0.13,0.34,0.16
2019,W43,6,0,0,1,2,3,0.1,0.16,0.05,0.23,0.3,0.16
2017,W47,7,2,2,1,2,0,0.2,0.26,0.12,0.15,0.3,0.19
2019,W44,11,2,3,1,4,1,0.23,0.26,0.12,0.26,0.34,0.23
2017,W48,9,2,2,2,2,1,0.49,0.57,0.19,0.44,0.34,0.38
2019,W45,18,5,2,3,4,4,0.72,0.47,0.28,0.44,0.47,0.46
2017,W49,43,11,7,5,13,7,0.86,0.88,0.56,0.85,1.29,0.84
2017,W50,78,13,8,17,18,22,2.27,1.29,1.22,1.68,4.04,1.99
2017,W51,186,45,10,30,34,65,2.73,1.19,1.55,1.73,5.2,2.34
2017,W52,98,25,5,19,15,34,5.93,3.52,4.03,5.67,20.87,7.3
2018,W01,844,110,53,123,171,387,7.87,7.08,7.83,11.19,42.29,13.79
2018,W02,1188,104,79,192,248,564,14.59,10.03,11.27,16.91,60.11,20.57
2018,W03,1145,229,62,166,237,449,17.91,9.56,11.93,17.45,59.51,21.39
2018,W04,971,211,44,151,192,373,22.46,7.6,10.85,15.75,51.14,20.05
2018,W05,981,242,41,146,182,369,24.27,6.98,10.55,13.58,44.78,18.73
2018,W06,942,284,50,153,153,301,27.59,7.86,11.15,13.09,43.07,19.28
2018,W07,1056,312,61,177,173,333,26.51,7.96,10.87,12.99,44.18,19.14
2018,W08,959,209,43,134,178,395,22.13,6.82,9.91,11.57,38.94,16.72
2018,W09,568,151,28,112,98,179,17.02,5.64,8.23,9.82,35.25,14.11
2018,W10,652,157,38,105,105,247,14.79,4.65,7.94,7.5,28.64,11.89
2018,W11,616,141,24,122,88,241,12.08,4.08,6.73,6.88,24.99,10.24
2018,W12,314,69,17,60,74,94,9.94,2.79,5.46,5.21,18.21,7.87
2018,W44,2,1,0,1,0,0,0.16,0.05,0.12,0.03,0.21,0.11
2020,W30,1,1,0,0,0,0,0.03,0.05,0,0.03,0,0.02
2019,W46,42,15,4,8,9,6,1.22,0.67,0.49,0.7,1.25,0.82
2018,W45,10,3,0,1,1,5,0.33,0.16,0.14,0.1,0.64,0.25
2018,W46,26,6,3,4,3,10,0.49,0.21,0.14,0.21,0.69,0.32
2018,W47,13,6,1,1,4,1,0.56,0.31,0.14,0.21,0.52,0.32
2018,W48,10,5,2,1,1,1,0.86,0.16,0.14,0.23,0.21,0.32
2018,W49,26,15,0,4,4,3,1.51,0.31,0.33,0.36,0.26,0.56
2018,W50,50,26,4,9,9,2,2.04,0.31,0.61,0.64,0.56,0.85
2018,W51,56,21,2,13,12,8,2.37,0.36,0.84,1.16,0.64,1.13
2018,W52,69,25,1,14,24,5,4.54,1.03,2.86,3.09,3.52,3.12
2019,W01,357,92,17,95,84,69,9.65,3.05,5.25,6.6,7.9,6.58
2019,W02,590,176,41,115,148,110,16.1,4.39,6.77,8.61,11.16,9.43
2019,W03,510,221,27,79,102,81,28.09,5.95,7.66,10.18,12.49,12.82
2019,W04,881,456,47,133,145,100,35.1,6.77,8.62,9.59,14.17,14.68
2019,W05,876,389,57,156,125,149,38.26,7.6,9.91,9.56,16.57,16.11
2019,W06,732,317,43,134,101,137,37.14,7.91,10.55,10.26,21.86,17.08
2019,W07,1030,422,53,160,172,223,34.67,7.03,9.7,10.13,19.88,15.92
