year,week,weekly_cases,Weekly_0_14,Weekly_15_24,Weekly_25_44,Weekly_45_64,Weekly_65_,F3_Week_Rolling_Rate_100k_0_14,F3_Week_Rolling_Rate_100k_15_24,F3_Week_Rolling_Rate_100k_25_44,F3_Week_Rolling_Rate_100k_45_64,F3_Week_Rolling_Rate_100k_65_,F3_Week_Rolling_Rate_100k_Total
2017,W40,8,8,0,0,0,0,NA,NA,NA,NA,NA,NA
2018,W38,5,5,0,0,0,0,0.33,0,0,0,0,0.06
2019,W36,9,8,0,1,0,0,0.89,0,0.02,0,0,0.18
2020,W26,1,0,0,0,0,1,0.03,0,0,0,0.04,0.01
2019,W37,13,13,0,0,0,0,1.05,0,0.02,0,0,0.21
2017,W41,16,16,0,0,0,0,1.48,0,0,0,0.04,0.3
2018,W39,2,2,0,0,0,0,0.43,0,0,0,0,0.08
2019,W38,11,11,0,0,0,0,1.25,0,0,0,0,0.25
2017,W42,22,21,0,0,0,1,2.63,0,0,0.03,0.13,0.54
2020,W27,1,1,0,0,0,0,0.03,0,0,0,0.04,0.01
2018,W40,6,6,0,0,0,0,0.86,0,0,0,0.09,0.18
2019,W39,14,14,0,0,0,0,1.48,0,0,0,0,0.29
2017,W43,46,43,0,0,1,2,3.03,0,0,0.05,0.26,0.65
2018,W41,20,18,0,0,0,2,1.38,0,0,0,0.09,0.28
2020,W28,0,0,0,0,0,0,0.03,0,0,0,0,0.01
2019,W40,20,20,0,0,0,0,2.14,0,0.02,0,0,0.43
2018,W42,18,18,0,0,0,0,2.34,0,0.07,0,0.17,0.5
2017,W44,32,28,0,0,1,3,3.82,0,0,0.08,0.21,0.8
2018,W43,40,35,0,3,0,2,2.73,0,0.07,0.03,0.17,0.59
2020,W29,0,0,0,0,0,0,0.03,0,0,0,0,0.01
2019,W41,32,31,0,1,0,0,3.13,0,0.05,0,0.04,0.63
2017,W45,46,45,0,0,1,0,8.13,0,0,0.21,0.26,1.69
2019,W42,46,44,0,1,0,1,4.28,0.05,0.09,0.08,0.04,0.9
2017,W46,183,174,0,0,6,3,10.7,0.05,0.02,0.18,0.21,2.2
2019,W43,61,55,1,2,3,0,6.06,0.1,0.16,0.1,0.13,1.29
2017,W47,111,106,1,1,0,2,14.13,0.1,0.09,0.23,0.34,2.93
2019,W44,93,85,1,4,1,2,7.11,0.21,0.19,0.1,0.47,1.57
2017,W48,159,149,1,3,3,3,16.56,0.1,0.16,0.28,1.03,3.55
2017,W49,278,248,0,3,8,19,18.37,0.21,0.21,0.52,1.72,4.08
2017,W50,194,161,3,3,9,18,22.56,0.26,0.28,0.7,2.71,5.13
2017,W51,320,276,2,6,10,26,17.58,0.26,0.28,0.62,2.4,4.08
2017,W52,117,97,0,3,5,12,22.59,0.16,0.42,1.01,3.95,5.42
2018,W01,401,313,1,9,24,54,18.67,0.26,0.89,1.6,6.57,5.34
2018,W02,307,157,4,26,33,87,18.84,0.41,1.01,2.09,9.02,5.92
2018,W03,206,102,3,8,24,69,10.93,0.41,0.94,1.98,9.1,4.33
2018,W04,156,73,1,6,20,56,7.21,0.26,0.42,1.39,6.74,2.94
