"Week","flu_cases","RSV_cases"
1,"73","257"
2,"65","312"
3,"64","652"
4,"64","750"
5,"98","784"
6,"56","852"
7,"49","1035"
8,"46","1289"
9,"26","1391"
10,"44","1823"
11,"24","1813"
12,"26","2174"
13,"24","2337"
14,"17","2555"
15,"12","3528"
16,"17","4374"
17,"12","3729"
18,"6","2714"
19,"9","3141"
20,"8","5735"
21,"4","7818"
22,"9","8046"
23,"5","8240"
24,"3","9641"
25,"3","12209"
26,"9","13024"
27,"2","15896"
28,"1","18915"
29,"2","14664"
30,"6","12694"
31,"2","11018"
32,"-","7469"
33,"3","6234"
34,"5","6544"
35,"4","5899"
36,"-","4644"
37,"1","3487"
38,"3","2398"
39,"5","1711"
40,"10","1511"
41,"10","1358"
42,"13","1148"
43,"20","949"
44,"23","795"
45,"28","793"
46,"19","796"
47,"27","785"
48,"30","785"
49,"35","939"
50,"37","1151"
51,"49","1276"
52,"45","990"
