theme,sub_theme,topic,geography_type,geography,geography_code,metric,metric_group,stratum,sex,age,year,month,epiweek,date,metric_value,in_reporting_delay_period
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,65-79,2017,7,27,2017-07-03,0.59,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,80+,2017,7,27,2017-07-03,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,00-04,2017,7,27,2017-07-03,0.69,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,45-64,2017,7,27,2017-07-03,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,all,2017,7,27,2017-07-03,0.29,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,15-44,2017,7,27,2017-07-03,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,05-14,2017,7,27,2017-07-03,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,80+,2017,7,28,2017-07-10,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,05-14,2017,7,28,2017-07-10,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,all,2017,7,28,2017-07-10,0.46,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,15-44,2017,7,28,2017-07-10,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,65-79,2017,7,28,2017-07-10,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,45-64,2017,7,28,2017-07-10,0.4,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,00-04,2017,7,28,2017-07-10,1.47,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,all,2017,7,29,2017-07-17,0.4,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,45-64,2017,7,29,2017-07-17,0.75,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,80+,2017,7,29,2017-07-17,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,00-04,2017,7,29,2017-07-17,0.64,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,05-14,2017,7,29,2017-07-17,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,15-44,2017,7,29,2017-07-17,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,65-79,2017,7,29,2017-07-17,0.48,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,05-14,2017,7,30,2017-07-24,0.98,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,00-04,2017,7,30,2017-07-24,1.91,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,45-64,2017,7,30,2017-07-24,0.72,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,80+,2017,7,30,2017-07-24,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,all,2017,7,30,2017-07-24,0.81,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,65-79,2017,7,30,2017-07-24,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,15-44,2017,7,30,2017-07-24,0.42,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,15-44,2017,7,31,2017-07-31,0.39,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,00-04,2017,7,31,2017-07-31,4.15,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,05-14,2017,7,31,2017-07-31,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,65-79,2017,7,31,2017-07-31,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,45-64,2017,7,31,2017-07-31,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,80+,2017,7,31,2017-07-31,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,all,2017,7,31,2017-07-31,1.17,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,80+,2017,8,32,2017-08-07,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,05-14,2017,8,32,2017-08-07,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,00-04,2017,8,32,2017-08-07,1.58,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,15-44,2017,8,32,2017-08-07,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,45-64,2017,8,32,2017-08-07,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,all,2017,8,32,2017-08-07,0.35,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,65-79,2017,8,32,2017-08-07,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,45-64,2017,8,33,2017-08-14,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,00-04,2017,8,33,2017-08-14,1.79,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,15-44,2017,8,33,2017-08-14,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,65-79,2017,8,33,2017-08-14,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,05-14,2017,8,33,2017-08-14,1.12,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,80+,2017,8,33,2017-08-14,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,all,2017,8,33,2017-08-14,0.54,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,00-04,2017,8,34,2017-08-21,3.14,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,45-64,2017,8,34,2017-08-21,0.4,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,15-44,2017,8,34,2017-08-21,0.41,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,05-14,2017,8,34,2017-08-21,1.52,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,65-79,2017,8,34,2017-08-21,0.5,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,all,2017,8,34,2017-08-21,1.14,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,80+,2017,8,34,2017-08-21,1.54,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,80+,2017,8,35,2017-08-28,0.0,False
infectious_disease,respiratory,RSV,Nation,England,E92000001,RSV_testing_positivityByWeek,testing,default,all,05-14,2017,8,35,2017-08-28,0.0,False
